4 5 9 14 18 19 22 30 31 35 47 50 53 60 61 71 77 80 81 90
6 5 6 8 10 41 45 52 53 54 57 59 63 68 71 72 83 84 88 95
8 2 10 20 21 24 28 30 39 41 53 55 58 61 64 67 76 81 90 98
3 7 8 11 20 32 37 39 40 43 51 52 56 70 81 87 90 91 92 96
17 27 28 43 44 46 48 49 58 62 66 67 76 77 78 85 86 93 95 98
1 4 5 8 11 13 18 28 31 35 36 42 49 50 55 63 64 66 87 91
5 14 16 22 24 28 31 33 37 39 44 57 60 65 72 76 77 80 86 93
23 33 38 39 41 44 50 58 60 63 65 66 67 68 70 74 85 86 94 99
13 14 15 19 20 21 25 26 27 28 38 47 48 50 54 57 69 75 80 99
1 7 8 11 15 25 27 29 31 38 41 47 55 63 68 75 84 86 90 98
